function,depth,seed,init_mode,snapped,final_loss,snappability,nan_epoch,converged,symbolic_form,expected_depth,post_snap_loss,valid_snap,pretrain_form
ln,5,0,blind,1,0.00170387071557343,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,1.2637174222618341e-06,1,"eml(x,x)"
ln,5,1,blind,1,0.34151074290275574,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747202396392822,0,"eml(1,eml(x,1))"
ln,5,2,blind,1,0.026736311614513397,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,1.2637174222618341e-06,1,"eml(x,eml(x,eml(eml(1,1),eml(1,1))))"
ln,5,3,blind,1,0.04326707869768143,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747202396392822,0,"eml(x,eml(1,x))"
ln,5,4,blind,1,0.09801016002893448,1.0,-1,1,"eml(1,eml(1,x))",4,1.246989369392395,0,"eml(x,1)"
ln,5,5,blind,1,0.022642388939857483,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747202396392822,0,"eml(1,x)"
ln,5,6,blind,1,0.23364929854869843,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747202396392822,0,"eml(eml(1,x),x)"
ln,5,7,blind,1,0.49589359760284424,1.0,-1,1,"eml(1,eml(1,1))",4,0.66901034116745,0,"eml(x,x)"
ln,5,8,blind,1,0.016642868518829346,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747210741043091,0,"eml(x,x)"
ln,5,9,blind,1,0.4744936525821686,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747202396392822,0,"eml(eml(1,eml(eml(1,x),x)),x)"
ln,5,10,blind,1,0.15632577240467072,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,2.3739994503557682e-07,1,"eml(1,eml(eml(1,x),eml(eml(x,1),eml(1,x))))"
ln,5,11,blind,1,0.34011489152908325,1.0,-1,1,"eml(1,eml(1,1))",4,0.66901034116745,0,"eml(x,1)"
ln,5,12,blind,1,0.4956006705760956,1.0,-1,1,"eml(1,eml(1,x))",4,1.2469897270202637,0,"eml(eml(eml(1,x),x),eml(x,x))"
ln,5,13,blind,1,0.0373789481818676,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,2.3739994503557682e-07,1,"eml(1,eml(eml(x,eml(1,1)),1))"
ln,5,14,blind,1,0.5660474896430969,1.0,-1,1,"eml(1,eml(1,x))",4,1.2469897270202637,0,"eml(x,x)"
ln,5,15,blind,1,0.03492220118641853,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747210741043091,0,"eml(1,1)"
ln,5,16,blind,1,0.01972370222210884,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,1.2637174222618341e-06,1,"eml(1,1)"
ln,5,17,blind,1,0.30634230375289917,1.0,-1,1,"eml(1,eml(1,x))",4,1.2469897270202637,0,"eml(eml(eml(eml(1,x),1),x),eml(1,1))"
ln,5,18,blind,1,0.05326223373413086,1.0,-1,1,"eml(1,eml(eml(1,x),x))",4,0.9747210741043091,0,"eml(x,x)"
ln,5,19,blind,1,0.12705585360527039,1.0,-1,1,"eml(1,eml(1,1))",4,0.66901034116745,0,"eml(eml(eml(x,1),x),eml(1,eml(1,1)))"
ln,5,0,warm,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1,"eml(1,eml(eml(1,x),1))"
ln,5,1,warm,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1,"eml(1,eml(eml(1,x),1))"
ln,5,2,warm,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1,"eml(1,eml(eml(1,x),1))"
ln,5,3,warm,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1,"eml(1,eml(eml(1,x),1))"
ln,5,4,warm,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1,"eml(1,eml(eml(1,x),1))"
ln,5,5,warm,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1,"eml(1,eml(eml(1,x),1))"
ln,5,6,warm,1,3.4371623769402504e-08,1.0,-1,1,"eml(1,eml(eml(1,x),1))",4,3.4371623769402504e-08,1,"eml(1,eml(eml(1,x),1))"
