func,hidden,depth,seed_best,float_maxerr_best,maxerr_mean,maxerr_std
exp,4,1,1,0.398603,1.089386,0.935025
exp,8,1,2,0.131078,0.25554,0.124061
exp,16,1,6,0.09008,0.143587,0.065072
exp,32,1,5,0.072592,0.107563,0.039325
exp,4,2,7,0.196027,0.739003,0.722055
exp,8,2,6,0.068963,0.12374,0.045273
exp,16,2,2,0.043257,0.066299,0.030963
exp,32,2,3,0.024186,0.033265,0.011229
ln,4,1,4,0.454681,1.338363,0.726028
ln,8,1,3,0.210163,0.614061,0.306844
ln,16,1,7,0.145935,0.291609,0.107104
ln,32,1,2,0.04963,0.085461,0.023292
ln,4,2,4,0.283626,0.633881,0.258164
ln,8,2,6,0.151375,0.539821,0.656603
ln,16,2,1,0.064187,0.243201,0.261486
ln,32,2,0,0.025073,0.059022,0.029204
