unit,func,hidden,depth,fmt,lcs,lc_est,area_source,ebr,dsp,fmax_mhz,fp_maxerr,bit_exact
mlp_exp_h4_d1,exp,4,1,Q8.8,1423,,pnr,0,0,15.2,0.401637,1
mlp_exp_h8_d1,exp,8,1,Q8.8,2640,,pnr,0,0,14.5,0.143824,1
mlp_exp_h16_d1,exp,16,1,Q8.8,4808,,pnr,0,0,13.0,0.128199,1
mlp_exp_h32_d1,exp,32,1,Q8.8,8673,,pnr,0,0,,0.093043,1
mlp_exp_h4_d2,exp,4,2,Q8.8,3587,,pnr,0,0,15.4,0.229762,1
mlp_exp_h8_d2,exp,8,2,Q8.8,11156,,pnr,0,0,,0.083136,1
mlp_exp_h16_d2,exp,16,2,Q8.8,32276,,pnr,0,0,,0.093043,1
mlp_exp_h32_d2,exp,32,2,Q8.8,32276,32276,overflow-lb,,,,0.047979,1
mlp_ln_h4_d1,ln,4,1,Q10.12,3066,,pnr,0,0,12.5,0.454929,1
mlp_ln_h8_d1,ln,8,1,Q10.12,4933,,pnr,0,0,13.4,0.210544,1
mlp_ln_h16_d1,ln,16,1,Q10.12,9454,,pnr,0,0,,0.146091,1
mlp_ln_h32_d1,ln,32,1,Q10.12,18468,,pnr,0,0,,0.050632,1
mlp_ln_h4_d2,ln,4,2,Q10.12,7281,,pnr,0,0,,0.28403,1
mlp_ln_h8_d2,ln,8,2,Q10.12,23319,,pnr,0,0,,0.150974,1
mlp_ln_h16_d2,ln,16,2,Q10.12,23319,23319,overflow-lb,,,,0.065769,1
mlp_ln_h32_d2,ln,32,2,Q10.12,23319,23319,overflow-lb,,,,0.026462,1
symbolic_exp,exp,0,0,Q8.8,316,316,hardware.md,3,0,28.3,0.014979,1
symbolic_ln,ln,0,0,Q10.12,1964,1964,hardware.md,13,0,16.7,0.001071,1
